,Time,U_mpers,V_mpers,date,ws_mpers_CTRL,ws_dir_degree_CTRL,dirn_CTRL,scenario
2892,12,-4.999276999999998,-3.3730311,2006-02-25,6.030763577217747,304.0076887700445,North_East,CTRL
2893,13,-4.9027433,-3.653139,2006-02-25,6.114107982282934,306.69058384753083,North_East,CTRL
2894,14,-10.732408,-2.034816,2006-02-25,10.923600946222814,280.7355954502402,East,CTRL
2895,15,-8.791739999999999,-2.8537102,2006-02-25,9.243286976675776,287.9829079478602,East,CTRL
2896,16,-8.686176,-4.293638,2006-02-25,9.689426235748945,296.30351162885876,North_East,CTRL
2897,17,-10.380752,-3.5589914,2006-02-25,10.973897751973906,288.92403411219965,East,CTRL
2898,18,-10.432163,-4.3384686,2006-02-25,11.298333268750527,292.58117120854996,North_East,CTRL
2899,19,-11.009182,-3.2758076000000003,2006-02-25,11.486209285109764,286.5704953580164,East,CTRL
2900,20,-10.949505,-3.7409751,2006-02-25,11.570935763534642,288.86309192069626,East,CTRL
2901,21,-11.166677,-3.6684322,2006-02-25,11.753810872577702,288.1861799227058,East,CTRL
2902,22,-10.742289,-3.3270593,2006-02-25,11.245714585798337,287.20859216800295,East,CTRL
2903,23,-10.049653,-2.9294386,2006-02-25,10.467909816748467,286.2512184545035,East,CTRL
5736,0,-9.199483,-2.8673427000000005,2006-02-26,9.635981611985999,287.3114836159749,East,CTRL
5737,1,-8.381191000000001,-3.2158394,2006-02-26,8.97696973510958,290.99166751234634,East,CTRL
5738,2,-7.385096499999999,-3.0551095,2006-02-26,7.992080102908283,292.4741846067743,East,CTRL
5739,3,-5.8912163,-3.0844746,2006-02-26,6.6498430847224395,297.6352853571471,North_East,CTRL
5740,4,-4.7402086,-3.1435108,2006-02-26,5.687814845899135,303.55069596332396,North_East,CTRL
5741,5,-3.3570552000000005,-3.445188,2006-02-26,4.810315994941605,315.7423073238133,North_East,CTRL
5742,6,-2.0822756,-3.622351,2006-02-26,4.178193202995328,330.10794828442795,North_East,CTRL
5743,7,-1.0615654,-3.105568,2006-02-26,3.281992337148452,341.1282130224619,North,CTRL
5744,8,1.5230508,-4.297302200000002,2006-02-26,4.559220321228784,19.515355966746924,North,CTRL
5745,9,2.686538,-4.9402040000000005,2006-02-26,5.623442183134811,28.537840488420002,North_West,CTRL
5746,10,3.4994254,-5.9411945,2006-02-26,6.895199070149854,30.498527876422393,North_West,CTRL
5747,11,3.1162796000000004,-5.292703599999999,2006-02-26,6.141979318007276,30.489059982971433,North_West,CTRL
5748,12,0.59543765,-10.997988,2006-02-26,11.014094880796222,3.0990022076260146,North,CTRL
5749,13,0.027066749,-12.140084,2006-02-26,12.140114173102221,0.1277427662974162,North,CTRL
5750,14,0.31543708,-10.567459,2006-02-26,10.57216582674146,1.7097628131169103,North,CTRL
5751,15,0.4605826,-11.328066,2006-02-26,11.337425441068124,2.3282802109432623,North,CTRL
5752,16,0.9875357,-11.318165,2006-02-26,11.361165685175068,4.986558817843061,North,CTRL
5753,17,-0.9990886999999998,-8.918949000000003,2006-02-26,8.974732836974521,353.6084488923218,North,CTRL
5754,18,-0.6485444,-9.942231,2006-02-26,9.963361234851035,356.26781091914546,North,CTRL
5755,19,-1.5975746000000002,-9.963665,2006-02-26,10.090929830039954,350.89072667128613,North,CTRL
5756,20,-1.5118531000000002,-9.341338,2006-02-26,9.462890437187975,350.80665537025845,North,CTRL
5757,21,-1.2570648000000002,-8.645462,2006-02-26,8.736373681616593,351.72707275212923,North,CTRL
5758,22,-1.3344163999999998,-7.806823,2006-02-26,7.9200475050291175,350.30020175629,North,CTRL
5759,23,-1.6644673,-6.58665,2006-02-26,6.793703674378894,345.81808015552906,North,CTRL
7368,0,-1.536699,-5.4801564,2006-02-27,5.691533886841223,344.3358915382153,North,CTRL
7369,1,-1.1287436000000002,-4.563939,2006-02-27,4.701446725239154,346.10848345392844,North,CTRL
7370,2,-0.675633,-3.890318,2006-02-27,3.9485508850479567,350.147689100699,North,CTRL
7371,3,0.20998082,-3.5676975,2006-02-27,3.5738714856964457,3.3683213290654948,North,CTRL
7372,4,1.1611878,-3.3944377999999995,2006-02-27,3.587556980026614,18.88507136073123,North,CTRL
7373,5,1.6558671000000005,-2.9506576,2006-02-27,3.3835301277364405,29.30052099293563,North_West,CTRL
7374,6,2.1429644,-3.2006235,2006-02-27,3.851790130370502,33.80412508491917,North_West,CTRL
7375,7,2.4050748,-3.1314347,2006-02-27,3.948451351347656,37.525792683271014,North_West,CTRL
7376,8,2.7350526,-2.9570727000000003,2006-02-27,4.028000953059974,42.766322968160935,North_West,CTRL
